Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
10,10.0,2022-11-07,27-261,DEN,@,SAS,W (+6),1,33:57,11.0,20.0,0.55,0.0,1.0,0.0,4.0,5.0,0.8,1.0,7.0,8.0,10.0,2.0,3.0,4.0,2.0,26.0,25.1,15.0,0.653,0.65,11.6,24.0,18.1,57.5,1.3,4.2,15.3,31.2,129.0,101.0,16.0
10,10.0,2023-05-09,28-079,DEN,,PHO,W (+16),1,37:33,12.0,20.0,0.6,2.0,3.0,0.667,3.0,5.0,0.6,4.0,9.0,13.0,12.0,1.0,2.0,4.0,3.0,29.0,30.1,18.0,0.586,0.55,3.9,23.6,14.5,45.0,2.7,8.7,15.3,31.7,115.0,99.0,10.5
10,10.0,2023-05-09,28-079,DEN,,PHO,W (+16),1,37:33,12.0,20.0,0.6,2.0,3.0,0.667,3.0,5.0,0.6,4.0,9.0,13.0,12.0,1.0,2.0,4.0,3.0,29.0,30.1,18.0,0.653,0.65,11.6,24.0,18.1,57.5,1.3,4.2,15.3,31.2,129.0,101.0,16.0
11,11.0,2022-11-09,27-263,DEN,@,IND,W (+3),1,20:42,10.0,20.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,24.0,19.5,11.0,0.563,0.525,5.3,14.8,10.2,70.2,4.3,4.3,4.5,43.3,123.0,104.0,13.2
11,11.0,2022-11-09,27-263,DEN,@,IND,W (+3),1,20:42,10.0,20.0,0.5,1.0,3.0,0.333,3.0,3.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,24.0,19.5,11.0,0.775,0.722,11.3,24.8,18.3,56.0,3.9,2.5,8.8,27.4,159.0,97.0,23.6
11,11.0,2023-05-11,28-081,DEN,@,PHO,W (+25),1,37:34,13.0,18.0,0.722,0.0,1.0,0.0,6.0,6.0,1.0,3.0,7.0,10.0,12.0,3.0,1.0,2.0,4.0,32.0,37.3,28.0,0.563,0.525,5.3,14.8,10.2,70.2,4.3,4.3,4.5,43.3,123.0,104.0,13.2
11,11.0,2023-05-11,28-081,DEN,@,PHO,W (+25),1,37:34,13.0,18.0,0.722,0.0,1.0,0.0,6.0,6.0,1.0,3.0,7.0,10.0,12.0,3.0,1.0,2.0,4.0,32.0,37.3,28.0,0.775,0.722,11.3,24.8,18.3,56.0,3.9,2.5,8.8,27.4,159.0,97.0,23.6
12,12.0,2022-11-11,27-265,DEN,@,BOS,L (-19),1,29:44,12.0,20.0,0.6,2.0,4.0,0.5,3.0,4.0,0.75,3.0,5.0,8.0,3.0,0.0,0.0,2.0,4.0,29.0,21.5,-14.0,0.666,0.65,10.3,21.8,15.4,21.4,0.0,0.0,8.4,36.3,127.0,141.0,7.8
12,12.0,2022-11-11,27-265,DEN,@,BOS,L (-19),1,29:44,12.0,20.0,0.6,2.0,4.0,0.5,3.0,4.0,0.75,3.0,5.0,8.0,3.0,0.0,0.0,2.0,4.0,29.0,21.5,-14.0,0.828,0.794,17.0,45.9,30.9,43.5,0.0,3.8,19.6,25.8,157.0,130.0,19.0
12,12.0,2023-05-16,28-086,DEN,,LAL,W (+6),1,42:26,12.0,17.0,0.706,3.0,3.0,1.0,7.0,8.0,0.875,6.0,15.0,21.0,14.0,0.0,2.0,5.0,4.0,34.0,39.8,11.0,0.666,0.65,10.3,21.8,15.4,21.4,0.0,0.0,8.4,36.3,127.0,141.0,7.8
